Epoca,Iteracao,Erro_Quadratico
156,3,0.010017007420707007
156,4,0.01038867141612089
157,1,0.00983703046968486
157,2,0.009204200142966936
157,3,0.0018285560985570521
157,4,0.037166495263145055
158,1,0.03529853974244393
158,2,0.0020604570797056626
158,3,0.010360408841636389
158,4,0.00961216687946695
159,1,0.00963426986274259
159,2,0.009022635700505212
159,3,0.0017989734200975517
159,4,0.03619205472695174
160,1,0.03440273124342755
160,2,0.010204699350361668
160,3,0.009469378768343018
160,4,0.0018950748185263776
161,1,0.034033892055880165
161,2,0.0019973670944214736
161,3,0.009989723502885928
161,4,0.00928721476803937
162,1,0.0018591922264882643
162,2,0.033777892872047646
162,3,0.009347448940195825
162,4,0.009681545839566584
163,1,0.008782209131126085
163,2,0.0017895765199788726
163,3,0.008982787037063178
163,4,0.03446803621122968
164,1,0.03281488721375301
164,2,0.0019397170756787977
164,3,0.0096600462899642
164,4,0.008979895183429688
165,1,0.0018091647014049077
165,2,0.03257299893607201
165,3,0.009534845979381326
165,4,0.008870015724235054
166,1,0.032113339457367926
166,2,0.00947161485760112
166,3,0.008810441828799843
166,4,0.0017842133223531346
167,1,0.008796540146372005
167,2,0.0017171648301751892
167,3,0.03241159176747341
167,4,0.008671538908674817
168,1,0.0017583968776554442
168,2,0.008670102669682513
168,3,0.008134302845278427
168,4,0.032441514240169056
169,1,0.030944325152913562
169,2,0.0018488331641480767
169,3,0.00865407556121663
169,4,0.008983539817817994
170,1,0.008159999338225074
170,2,0.00842165527995351
170,3,0.0016360296911240857
170,4,0.031654194541263746
171,1,0.008503905281110967
171,2,0.007961903239921603
171,3,0.0016274101399044766
171,4,0.031227669212023034
172,1,0.008037660480670339
172,2,0.008307710821901636
172,3,0.0016184953921752688
172,4,0.03081433957572901
173,1,0.00838269075903871
173,2,0.0016499339057586206
173,3,0.007798894336620245
173,4,0.030415348721086727
174,1,0.00831787670134895
174,2,0.0016397785265018223
174,3,0.007738203810663229
174,4,0.030028532786510957
175,1,0.0016781311589600457
175,2,0.007804595691708995
175,3,0.0291868913898509
175,4,0.008548788405138699
176,1,0.0081621410048356
176,2,0.007639985715655536
176,3,0.0015762737963266862
176,4,0.029328213706997265
177,1,0.001652184623876484
177,2,0.008049657080104761
177,3,0.0075384314074384735
177,4,0.0289695151380725
178,1,0.027728630912403258
178,2,0.008012897749970917
178,3,0.0016830717918517983
178,4,0.008297336949626545
179,1,0.0016228496745603362
179,2,0.0075015893617527045
179,3,0.027920788936962156
179,4,0.00820571173630736
180,1,0.0016086759469925921
180,2,0.0272740777290837
180,3,0.008235037328239027
180,4,0.0076574569155653735
181,1,0.0077530234614302555
181,2,0.027359263805250802
181,3,0.007614318363964555
181,4,0.001589079376929656
182,1,0.02666040657033162
182,2,0.0016585754667106983
182,3,0.008051607868094675
182,4,0.007482183304497643
183,1,0.0072142731943459215
183,2,0.0074765020337025975
183,3,0.027156006335098355
183,4,0.0015622769174478762
184,1,0.007532175554384091
184,2,0.0015107106797948324
184,3,0.02658812979165191
184,4,0.007342229559252121
185,1,0.0015403356277289032
185,2,0.025918060804653302
185,3,0.007375523892153418
185,4,0.007702618277104409
186,1,0.0015255079517641525
186,2,0.007343142901369928
186,3,0.026061569856366134
186,4,0.007183437053393323
187,1,0.0069348877796567565
187,2,0.0072160444627571724
187,3,0.026027448230211
187,4,0.001513448663134896
188,1,0.006877873252396377
188,2,0.007163010259634077
188,3,0.025735710146358712
188,4,0.0015034971195459735
189,1,0.006820806170072354
189,2,0.0014615730312582359
189,3,0.007071932070544314
189,4,0.02551881585749468
190,1,0.02451513335920294
190,2,0.007524468471945453
190,3,0.0015129710399017693
190,4,0.006921583470673037
191,1,0.0014702974055231294
191,2,0.02437362272737571
191,3,0.0069514990807282954
191,4,0.007289162765514366
192,1,0.02409239300871044
192,2,0.00690530002392085
192,3,0.0014902964424380993
192,4,0.007207983474767915
193,1,0.006926264868364558
193,2,0.00644686663524108
193,3,0.02450371990664468
193,4,0.0014424119034608025
194,1,0.006491592251239745
194,2,0.00678080990312223
194,3,0.001369434119144044
194,4,0.0243018981637831
195,1,0.023377559975446688
195,2,0.007161821274853625
195,3,0.006615502080966856
195,4,0.001420385649969194
196,1,0.006753030368997812
196,2,0.023504215953870408
196,3,0.0014401712558406367
196,4,0.006520235241338073
197,1,0.0014015533759559134
197,2,0.006661732069269981
197,3,0.006194370773829257
197,4,0.023599671893084748
198,1,0.006265493115781437
198,2,0.0065602201323269466
198,3,0.0013323683964128045
198,4,0.023348773916349066
199,1,0.006603029324481196
199,2,0.006129760752209716
199,3,0.0013247771242882408
199,4,0.02310440213522568
200,1,0.022256071274012572
200,2,0.00686356576209284
200,3,0.001400423156383548
200,4,0.006300468069401043
201,1,0.001363945014926739
201,2,0.0064524964474344275
201,3,0.022431570325427978
201,4,0.006241757973900538
202,1,0.02187133310345847
202,2,0.006731121229691485
202,3,0.0062039564289705015
202,4,0.0013495670429902148
203,1,0.0013421390202281197
203,2,0.021750584133205592
203,3,0.006201044776421924
203,4,0.006539151393640041
204,1,0.0013308620518925843
204,2,0.021569660506142084
204,3,0.00613744676723619
204,4,0.00647494982335133
205,1,0.005869082938774084
205,2,0.0061652210939025145
205,3,0.021844184467279985
205,4,0.0013192179755096465
206,1,0.001312112169667382
206,2,0.005799802134382628
206,3,0.006094628536761546
206,4,0.021679005400867497
207,1,0.02091777294739338
207,2,0.006007655434939251
207,3,0.00635373887922775
207,4,0.001300556928772382
208,1,0.006102083806563078
208,2,0.0012647149528398792
208,3,0.00562475923223709
208,4,0.021287767677458616
209,1,0.00568419226258112
209,2,0.005985858708957129
209,3,0.0012345475006572458
209,4,0.02107755745533473
210,1,0.005642726835947392
210,2,0.020564048340621813
210,3,0.006209561407530536
210,4,0.0012763078220523214
211,1,0.00559456278040687
211,2,0.020388993010608168
211,3,0.0061536937269569296
211,4,0.0012669770699815712
212,1,0.005916657248138177
212,2,0.020261824609641675
212,3,0.0056831093047827914
212,4,0.0012581682845609844
213,1,0.005499030404140887
213,2,0.005799727285132882
213,3,0.0012026916351384456
213,4,0.02033554022331204
214,1,0.0012446728943677611
214,2,0.005436827137409678
214,3,0.005736208285687446
214,4,0.020142667810959646
215,1,0.01947158772013121
215,2,0.006038805634995276
215,3,0.0012566903412801558
215,4,0.005520969112227391
216,1,0.01932576880277274
216,2,0.0012743567033027842
216,3,0.005951346641031569
216,4,0.005467890827093929
